"","SYMBOL","ENSEMBL","AD_related"
"284","GSTT1","ENSG00000277656",TRUE
"285","HACD1","ENSG00000165996",TRUE
"286","HBG2","ENSG00000196565",TRUE
"287","HCRTR2","ENSG00000137252",TRUE
"288","HHEX","ENSG00000152804",TRUE
"289","HLA-A","ENSG00000206503",TRUE
"290","HLA-A","ENSG00000227715",TRUE
"291","HLA-A","ENSG00000206505",TRUE
"292","HLA-A","ENSG00000223980",TRUE
"293","HLA-A","ENSG00000224320",TRUE
"294","HLA-A","ENSG00000229215",TRUE
"295","HLA-A","ENSG00000231834",TRUE
"296","HLA-A","ENSG00000235657",TRUE
"297","HLA-DQB1","ENSG00000179344",TRUE
"298","HLA-DQB1","ENSG00000206237",TRUE
"299","HLA-DQB1","ENSG00000231286",TRUE
"300","HLA-DQB1","ENSG00000231939",TRUE
"301","HLA-DQB1","ENSG00000225824",TRUE
"302","HLA-DQB1","ENSG00000206302",TRUE
"303","HLA-DQB1","ENSG00000233209",TRUE
"304","HLA-DRA","ENSG00000204287",TRUE
"305","HLA-DRA","ENSG00000277263",TRUE
"306","HLA-DRA","ENSG00000234794",TRUE
"307","HLA-DRA","ENSG00000226260",TRUE
"308","HLA-DRA","ENSG00000230726",TRUE
"309","HLA-DRA","ENSG00000227993",TRUE
"310","HLA-DRA","ENSG00000228987",TRUE
"311","HLA-DRA","ENSG00000206308",TRUE
"312","HLA-DRB5","ENSG00000198502",TRUE
"313","HMGCR","ENSG00000113161",TRUE
"314","HMGCS2","ENSG00000134240",TRUE
"315","HMOX1","ENSG00000100292",TRUE
"316","HPCAL1","ENSG00000115756",TRUE
"317","HSD11B1","ENSG00000117594",TRUE
"318","HSPA5","ENSG00000044574",TRUE
"319","HSPG2","ENSG00000142798",TRUE
"320","HTR2A","ENSG00000102468",TRUE
"321","HTR6","ENSG00000158748",TRUE
"322","ICAM1","ENSG00000090339",TRUE
"323","IGBP1P5","ENSG00000250858",TRUE
"324","IL12A","ENSG00000168811",TRUE
"325","IL12B","ENSG00000113302",TRUE
"326","IL18","ENSG00000150782",TRUE
"327","IL1RN","ENSG00000136689",TRUE
"328","IL23R","ENSG00000162594",TRUE
"329","IL33","ENSG00000137033",TRUE
"330","IL4","ENSG00000113520",TRUE
"331","IL6R","ENSG00000160712",TRUE
"332","IREB2","ENSG00000136381",TRUE
"333","ISL1","ENSG00000016082",TRUE
"334","KANSL2","ENSG00000139620",TRUE
"335","KCNJ6","ENSG00000157542",TRUE
"337","KIF11","ENSG00000138160",TRUE
"338","KNDC1","ENSG00000171798",TRUE
"339","LCK","ENSG00000182866",TRUE
"340","LDLR","ENSG00000130164",TRUE
"341","LHCGR","ENSG00000138039",TRUE
"342","LIPA","ENSG00000107798",TRUE
"343","LIPC","ENSG00000166035",TRUE
"345","LRP2","ENSG00000081479",TRUE
"346","LRP8","ENSG00000157193",TRUE
"347","LRPAP1","ENSG00000163956",TRUE
"348","LY6E","ENSG00000160932",TRUE
"349","LY6E","ENSG00000278032",TRUE
"350","MAGI2","ENSG00000187391",TRUE
"351","MALRD1","ENSG00000204740",TRUE
"352","MAOA","ENSG00000189221",TRUE
"353","MAPK8IP1","ENSG00000121653",TRUE
"354","MBL2","ENSG00000165471",TRUE
"355","MCM3AP","ENSG00000160294",TRUE
"356","MEF2A","ENSG00000068305",TRUE
"357","MEFV","ENSG00000103313",TRUE
"358","MEIS2","ENSG00000134138",TRUE
"359","MEOX2","ENSG00000106511",TRUE
"360","MIR146A","ENSG00000283733",TRUE
"361","MMP1","ENSG00000196611",TRUE
"362","MMP3","ENSG00000149968",TRUE
"363","MS4A6E","ENSG00000166926",TRUE
"372","MTHFD1L","ENSG00000120254",TRUE
"373","MTHFR","ENSG00000177000",TRUE
"374","MTR","ENSG00000116984",TRUE
"375","MTRR","ENSG00000124275",TRUE
"376","MX1","ENSG00000157601",TRUE
"377","MYH13","ENSG00000006788",TRUE
"378","MYH8","ENSG00000133020",TRUE
"379","MYLK","ENSG00000065534",TRUE
"380","MZF1","ENSG00000099326",TRUE
